#=MarketMaker,EventSymbol,EventTime,ExchangeCode,MarketMaker,BidTime,BidPrice,BidSize,BidCount,AskTime,AskPrice,AskSize,AskCount
MarketMaker,AAPL,20190806-185959.999-0500,Q,CTDL,20190806-150007-0500,184.55,0,0,20190806-150007-0500,206.27,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,CSTI,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,COWN,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,CDRG,20190806-150007-0500,184.81,0,0,20190806-150007-0500,206.27,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,CANT,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,BMOC,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,BARD,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,AEXG,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190806-185959.999-0500,Q,ADAM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0,EventFlags=SNAPSHOT_END
MarketMaker,AAPL,20190807-065959.999-0500,Q,XGWD,20190806-150007-0500,188.69,0,0,20190806-150007-0500,204.42,0,0,EventFlags=SNAPSHOT_BEGIN
MarketMaker,AAPL,20190807-065959.999-0500,Q,WSEA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-065959.999-0500,Q,WEDB,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-065959.999-0500,Q,WCHV,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
